"Tahun","","Usia 7-12","Usia 13-15","Usia 16-18","Usia 19-24"
"1994","","  94.06 ","  72.39 ","  45.31 ","  12.80 "
"1995","","  93.94 ","  73.20 ","  44.65 ","  11.53 "
"1996","","  94.43 ","  75.84 ","  47.59 ","  11.96 "
"1997","","  95.37 ","  77.51 ","  48.64 ","  11.64 "
"1998","","  95.06 ","  77.16 ","  49.28 ","  12.10 "
"1999","","  95.34 ","  79.04 ","  51.14 ","  12.70 "
"2000","","  95.50 ","  79.58 ","  51.17 ","  12.31 "
"2001","","  95.61 ","  79.35 ","  49.18 ","  11.81 "
"2002","","  96.10 ","  79.21 ","  49.76 ","  11.62 "
"2003","","  96.42 ","  81.01 ","  50.97 ","  11.71 "
"2004","","  96.77 ","  83.49 ","  53.48 ","  12.07 "
"2005","","  97.14 ","  84.02 ","  53.86 ","  12.23 "
"2006","","  97.39 ","  84.08 ","  53.92 ","  11.38 "
"2007","","  97.60 ","  84.26 ","  54.61 ","  12.20 "
"2008","","  97.83 ","  84.41 ","  54.70 ","  12.43 "
"2009","","  97.95 ","  85.43 ","  55.05 ","  12.66 "
"2010","","  97.97 ","  86.11 ","  55.83 ","  13.67 "
"2011","","  97.53 ","  87.79 ","  57.69 ","  14.47 "
"2012","","  97.94 ","  89.61 ","  61.30 ","  15.94 "
"2013","","  98.34 ","  90.62 ","  63.64 ","  20.04 "
"2014","","  98.83 ","  94.32 ","  70.13 ","  22.74 "
"2015","","  98.57 ","  94.25 ","  70.26 ","  22.77 "
"2016","","  98.98 ","  94.79 ","  70.68 ","  23.80 "
"2017","","  99.08 ","  94.98 ","  71.20 ","  24.67 "
"2018","","  99.11 ","  95.23 ","  71.82 ","  24.29 "
"2019","","  99.17 ","  95.43 ","  71.92 ","  23.28 "
"2020","","  99.21 ","  95.52 ","  71.44 ","  22.53 "
"2021","","  99.12 ","  95.85 ","  70.74 ","  23.28 "
"2022","","  99.01 ","  95.81 ","  72.88 ","  26.46 "
